"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90301";"LAMBARI D OESTE";52;6;"Deputado Federal";4388;15;6;0;21;3150;0;1238;"N";3150;3016;3016;2906;110;110;0;0;0;0;0;0;0;75;59;59;0;0;"15:44:20";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90697";"DIAMANTINO";7;6;"Deputado Federal";16347;54;21;0;75;12446;0;3901;"N";12446;11546;11546;11135;411;411;0;0;0;0;0;0;0;612;288;288;0;0;"15:43:53";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91057";"LUCIARA";15;6;"Deputado Federal";2187;8;3;0;11;1672;0;515;"N";1672;1639;1639;1575;64;64;0;0;0;0;0;0;0;18;15;15;0;0;"15:44:09";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91812";"PEDRA PRETA";45;3;"Governador";14217;42;2;0;44;10694;0;3523;"N";10694;8637;8637;8637;0;0;0;0;0;0;0;0;0;778;1279;1279;0;0;"19:28:53";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91855";"TANGARÁ DA SERRA";19;5;"Senador";72104;214;6;0;220;52608;0;19496;"N";52608;39605;39605;39605;0;0;0;0;0;0;0;0;0;3674;9329;3269;6060;0;"20:16:46";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90840";"UNIÃO DO SUL";32;5;"Senador";3018;9;0;0;9;2255;0;763;"N";2255;1880;1880;1880;0;0;0;0;0;0;0;0;0;74;301;113;188;0;"19:33:40";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90786";"FELIZ NATAL";36;6;"Deputado Federal";6254;22;1;0;23;4590;0;1664;"N";4590;4337;4337;4148;189;189;0;0;0;0;0;0;0;173;80;80;0;0;"15:44:28";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89850";"SINOP";22;7;"Deputado Estadual";107209;297;6;0;303;81895;0;25314;"N";81895;73470;73409;69816;3593;3593;0;10;10;0;51;51;0;5378;3047;2246;801;0;"15:43:54";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90280";"CONFRESA";28;5;"Senador";22053;64;6;0;70;16157;0;5896;"N";16157;10828;10828;10828;0;0;0;0;0;0;0;0;0;947;4382;1083;3299;0;"20:08:26";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91090";"VILA BELA DA SANTÍSSIMA TRINDADE";25;5;"Senador";10521;39;6;0;45;7709;0;2812;"N";7709;5902;5902;5902;0;0;0;0;0;0;0;0;0;197;1610;497;1113;0;"22:14:55";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91634";"TORIXORÉU";9;5;"Senador";3429;12;19;0;31;2701;0;728;"N";2701;1359;1359;1359;0;0;0;0;0;0;0;0;0;84;1258;198;1060;0;"19:40:00";"02/10/2022"
